Indicative,F1,F2,F3,F4,F5,F6,F7,F8
AB,-0.3312881856546265,-0.44253657967512916,-0.42965582835886157,-0.6857700008683576,0.48615187407360866,1.4696991382619298,-0.5478794018437081,0.0
AR,-0.15828209609757815,0.026370709945062354,0.1026039783093529,-0.37087707849163165,-0.4950889843332946,1.4828090431559635,0.019244865131383907,0.0
AG,-0.12167540177292756,1.1720526687546984,-0.09979215231787587,-0.4390806514720625,0.6216724609620433,-0.46272014447084114,0.7484816757123528,0.0
BC,-0.7702297465877026,1.5518312250291677,-0.5303720701527229,0.15205692164363346,-0.23729141174175578,0.1924809594608141,-0.05404810081614924,0.0
BH,0.5249712477658962,0.5875881202003447,1.1639282103659245,-0.6087853731523715,-1.1849477016814132,0.46468606132732326,1.2006856302072764,0.0
BN,0.48791650374334655,-1.0791225885542703,0.7051304127684266,-0.8524798065692115,-0.8869551462525146,-0.747136718843704,1.29620463488761,0.0
BT,-0.26049960937190114,-0.3174214396119093,0.05348071745127709,0.4892554396053961,0.04906910201923255,0.4625387224323135,1.4548771625395989,0.0
BR,-0.19902312346806472,-1.1114397556014701,-0.1943990408878568,-0.3666182417627734,0.17732287614812484,-0.37133930710756813,-0.9177310589426149,0.0
BV,0.6666231364631887,-0.5635498778701274,-0.7685571276208409,0.39816559284762726,-0.17204894778752225,0.8506452063679626,-1.5536202973359965,0.0
BZ,-0.3845981539801183,-0.08778641979849981,-0.24938818660999484,0.1665640600505855,1.1794997589235174,-0.2912695926060614,1.037728602156162,0.0
CL,-0.250905467360238,-0.24874744323878054,0.3637475353814959,-0.3361271700848426,-1.5518905048410827,-0.03299477374006317,-1.4808812581286608,0.0
CS,0.2609843794854798,-1.200917205943247,-0.11921324538921177,-0.5428902099814841,0.4642709016957748,-1.562544045520791,1.9616325941505803,0.0
CJ,0.647545410778224,-0.2520231355633806,3.3163560562919927,-0.5218098670196012,1.9532209469584816,0.34725912745392107,-0.2390282347210166,0.0
CT,0.1972887687116188,-0.3198700971900857,1.295370934418305,-0.10490572532702899,1.246367892977729,2.355754187952037,-1.3733750820150294,0.0
CV,-0.17026453041412734,-1.3422637105633972,-0.006055842973742034,0.11547389004535662,-0.6123736974409371,-0.2905122094256923,-0.4808628699130708,0.0
DB,-0.5239547966577924,0.4846729352732777,-1.0608814430087823,0.2748990192632396,-0.13246780508869976,0.5009132147912476,-0.7439349481853914,0.0
DJ,-0.6263984537877431,0.9938862139727904,-0.2630294788816936,-0.5475857124472366,1.8595010470669235,0.6153693643786696,-0.5201419309318394,0.0
GL,-0.16832440138434404,0.454602966645414,-0.41358324797685797,-0.7269956508707417,1.1224394176333927,-0.8557478163929729,-0.06213798773826989,0.0
GR,-0.3653421170622884,-0.9296183128505939,-0.34292295031006303,0.3813269304480445,-0.24347228244273025,-1.2085890334981226,-0.6120172961487662,0.0
GJ,0.0206835701662695,-0.90062178748537,-0.37670730814787307,-0.9867532024459987,-0.12518197140110104,1.1493739792509514,0.4595847585161238,0.0
HR,-0.10102235221791735,-0.6585254903363612,0.5453295227320378,-1.0905988546497372,-0.015825590214001997,1.1111456363488041,-0.028263619136776094,0.0
HD,0.12448132931351301,-0.8582688383628765,-0.1456811822260371,-0.5749358895559376,-1.155013203788589,1.2813772100176588,0.3822898929178567,0.0
IL,-0.2947833456573772,-0.9831338859611137,-0.057215864201417665,0.5933605220229473,-0.6960453861194619,-0.3511596778284824,-0.3924325225455127,0.0
IS,-0.4663288877410095,1.4506379347415979,2.0309461175947976,3.6475002255893383,-0.26279807639640645,0.4742435820405811,0.2281598563705653,0.0
IF,1.0623162992748119,-1.9943345106593109,-1.1599830031455127,2.343569247867206,0.6839274743833231,-0.9256827163121497,0.21259876634097882,0.0
MM,-0.41270141682051703,0.30287150014055536,-0.3900350289190807,-0.15676165917013304,0.44542425933774804,0.7669934958816607,-1.3818209086426516,0.0
MH,-0.5082201012346796,-0.41277725683094135,-0.1914332132793222,0.26226257093860367,-0.3763743481143538,-0.38329788826072625,-0.5094253632329334,0.0
